Category,Business Name,Rating,Reviews,Phone Number,Lead_Score
fine dining restaurant,"Curry Leaves Pure Veg , Jehan Circle",4.3,10444,077220 15994,44909.2
fine dining restaurant,Bon Vivant,4.1,7077,0253 231 4460,29015.699999999997
fine dining restaurant,Veg Aroma,4.0,7158,083800 32373,28632.0
restro bar,Kaka Ka Dhaba,3.9,5526,090112 38000,21551.399999999998
restro bar,Yahoo Hotel Restaurant & Bar Nashik,4.1,4383,0253 257 1748,17970.3
fine dining restaurant,"Curry Leaves, Indira Nagar - Hotel, Restaurant, Banquet, Rooms",4.4,3736,094231 89995,16438.4
cafe,Modern Cafe Nashik,4.2,3624,0253 618 0814,15220.800000000001
fine dining restaurant,Barbeque Ville,4.1,3446,083800 45222,14128.599999999999
restro bar,River Dine Restaurant & Banquet,4.1,3100,099232 73444,12709.999999999998
cafe,Shree Purohit Thali®,4.2,2923,0253 246 3407,12276.6
fine dining restaurant,The Cobble Street (TCS),4.2,2772,083809 98099,11642.4
cafe,Hotel Durga © | हॉटेल दुर्गा © | Fast Food Pure Veg Restaurant | Best Cafe in Nashik,4.5,2346,096652 08277,10557.0
restro bar,Hotel Sadhguru,4.1,2510,075584 63118,10291.0
fine dining restaurant,Udupi Tadka High Gardens Pure Veg restaurant,4.4,2302,089560 36925,10128.800000000001
premium bakery,Luscious Layers,4.2,2294,077220 82092,9634.800000000001
fine dining restaurant,Spice Route,4.0,2377,099229 92231,9508.0
fine dining restaurant,Annapoorna hotel,4.0,2281,099603 60855,9124.0
fine dining restaurant,Udupi Tadka's Hariyali Veg Restaurant & Party Hall,4.2,2147,089560 36930,9017.4
restro bar,Shack Multi-Cuisine,4.1,1943,088888 88853,7966.299999999999
premium bike modification,AJIT MOTORS HELMET SHOWROOM (Since 1958),4.8,1568,087937 21007,7526.4
fine dining restaurant,Haji Darbar Restaurant,4.1,1775,098909 78600,7277.499999999999
fine dining restaurant,Baracco Alfresco. Bar. Banquets | Multi Cuisine Restaurant,4.3,1617,077700 08011,6953.099999999999
premium salon,Sarathe'S International hair and beauty family Salon,4.7,1468,090491 26395,6899.6
cafe,Sandy's Recipe,3.8,1802,098600 00011,6847.599999999999
cafe,New Rasoi Restaurant Nashik,4.1,1609,098810 79090,6596.9
premium salon,Mirror Salon & Academy,4.8,1363,093095 19704,6542.4
custom jewelry designer,Tejaswi Jewellers Jawaharlal Motilal saraf,4.6,1400,077670 22000,6439.999999999999
custom jewelry designer,Bhandari Jewellery Galaxy Pvt Ltd,4.7,1184,0253 664 0000,5564.8
cafe,"Chai Ketali, College Road, Nashik",4.0,1388,098909 78676,5552.0
fine dining restaurant,Dil Se Desi - Nashik,4.1,1312,099232 06360,5379.2
cafe,Cafe Bliss,4.1,1196,084849 52735,4903.599999999999
specialty coffee shop,Stamping Ground,4.1,1097,095031 41111,4497.7
specialty coffee shop,Sippers Choice Chai Cafe,3.8,1170,091756 66333,4446.0
cafe,"Pokket cafe, Ashoka marg, Nashik",4.4,923,096736 97656,4061.2000000000003
fine dining restaurant,Hotel Rama Krishna,4.5,900,094222 64142,4050.0
premium bakery,Fresh-Up Bakery,4.4,918,096897 55531,4039.2000000000003
cafe,COFFEE CLUB NX,4.3,917,094212 90675,3943.1
premium bike modification,Sachi Honda,4.7,828,098816 98884,3891.6000000000004
restro bar,Patang restaurant and bar,4.1,947,077220 30040,3882.7
premium bakery,Royal Bakers,4.0,969,092251 31076,3876.0
fine dining restaurant,Jai Jagannath Restaurant,3.9,993,092704 69069,3872.7
restro bar,GPS 99 RESTAURANT,4.0,937,086691 10119,3748.0
chiropractor,Marmaveda Chiropractic (charak) Nashik,4.8,744,088300 55857,3571.2
cafe,Chai Tapri,3.8,933,098901 96410,3545.3999999999996
dentist,Dr Aher's Dental Care,5.0,676,099235 39253,3380.0
restro bar,Flying Monk,4.0,843,095617 05405,3372.0
designer boutique,Bhandari Jewels,4.8,672,070384 74567,3225.6
fine dining restaurant,Shalimar Restaurant,3.9,819,097662 37520,3194.1
specialty coffee shop,Chai tapri Best cafe in Nasik,3.9,779,084848 29129,3038.1
premium bakery,RT Bakers & Confectionery,4.3,706,098603 65300,3035.7999999999997
fine dining restaurant,Nandan Thali Restaurant,4.2,711,070306 46488,2986.2000000000003
specialty coffee shop,Cafe Panchayat,4.4,678,088880 08368,2983.2000000000003
premium bakery,Bms Super Market,3.9,764,086055 06738,2979.6
specialty coffee shop,Pokket cafe College Road,4.6,630,085303 68669,2898.0
cafe,CHAI KETALI (Ashoka Marg),4.0,670,098909 78676,2680.0
cafe,Rambhau Chulivarchi Misal,4.2,621,097627 26403,2608.2000000000003
homeopathy clinic,Dr. Musale's Healing Pearls Homoeopathic Clinic,4.9,520,0253 247 1322,2548.0
cafe,Chai Tapri,4.1,605,097661 88377,2480.5
pet shop,BHAWANI SWEETS JAIL ROAD,4.0,618,099237 45244,2472.0
fine dining restaurant,Swadishta (Swad )Veg Restaurant,3.6,682,0253 241 8868,2455.2000000000003
veterinary clinic,Pets Care Hospital,4.0,607,098225 82503,2428.0
cafe,Hotel Mazda & Cafe - Best Cafe in Nashik| Family Restaurant in Nashik| Multicusion Restaurant in Nashik,4.3,541,085303 92333,2326.2999999999997
designer boutique,Ganesh Uttamrao Ashtekar and Sons saraf,4.9,473,099701 61111,2317.7000000000003
designer boutique,Ki n Ka Rental Studio,4.9,468,086683 61571,2293.2000000000003
premium bike modification,MH-15 CAR DECOR,4.7,486,098228 39661,2284.2000000000003
cafe,Love At Every Bite Cafe And Cakes,4.7,485,0253 403 2654,2279.5
martial arts academy,Boxing association Nashik,4.3,527,072769 99199,2266.1
restro bar,Madras Cafe,3.7,608,084840 98589,2249.6
fine dining restaurant,Panchali Pure Veg Family Resturant,3.6,623,098507 50837,2242.8
specialty coffee shop,The Breakfast Story Cafe & Bistro,4.6,474,097673 63709,2180.3999999999996
designer boutique,D.S. Tailors & Readymades,4.1,511,0253 257 2344,2095.1
cafe,VAISHALI VEG & NON VEG FAMILY RESTAURANT,4.1,502,099755 84828,2058.2
used car dealer,Mayur Car Mall,4.9,417,094222 69159,2043.3000000000002
yoga studio,My yog sadhana,4.8,422,094239 64247,2025.6
designer boutique,SALRIO TAILORS - Best Tailor in Nashik,4.9,409,090497 95125,2004.1000000000001
homeopathy clinic,"Dr. Anup Gawande's Shri Homeopathic Clinic In Nashik, Maharashtra, India",5.0,399,099758 89317,1995.0
fine dining restaurant,Sai Leela Family Restaurant & Snacks,3.9,503,098226 41888,1961.7
specialty coffee shop,Cafe' Xpress,4.4,443,097638 62139,1949.2
fine dining restaurant,Badshah Hotel,4.2,451,077093 84000,1894.2
bridal makeup studio,KAYAKALP Makeup Studio Salon Academy,4.7,400,091585 24447,1880.0
crossfit box,V Fitness Club,4.9,375,098238 18612,1837.5000000000002
fine dining restaurant,Kopa Kabana's,3.9,471,0253 231 7698,1836.8999999999999
dentist,GURU Dental Clinic,4.9,371,099220 08188,1817.9
premium bakery,Campus Choice Bakers,4.0,439,0253 231 6341,1756.0
restro bar,Samarkand Restaurant,4.2,413,0253 232 5000,1734.6000000000001
restro bar,Hotel West In (East End) Family Restaurant and Bar,3.8,455,0253 295 3995,1729.0
used car dealer,Kamal Auto,4.0,432,094227 70163,1728.0
premium salon,Sam Unisex Salon | Nashik,4.8,355,086689 93861,1704.0
premium bakery,Hello Bakers,4.7,358,098902 19555,1682.6000000000001
specialty coffee shop,Manjula Sweets,4.2,395,0253 241 4050,1659.0
cafe,The Cafe Katta®,4.2,393,097300 22113,1650.6000000000001
cafe,Nashik Chicken Shawarma,4.9,336,099755 53330,1646.4
premium bakery,99 Pancakes,4.1,400,090211 85857,1639.9999999999998
veterinary clinic,Dr Digvijay Patil’s Pet Perfect . A Complete Pet Care,4.4,370,095273 15599,1628.0000000000002
restro bar,HOTEL EXPRESS RESTO & BAR,4.0,404,095799 85559,1616.0
restro bar,URBAN OASIS MULTI-CUISINE,4.2,379,093737 36501,1591.8
modular furniture studio,Pelican Furnitures,4.8,330,079770 79703,1584.0
custom jewelry designer,Anuradha Art Jewellery,4.4,359,0253 230 9580,1579.6000000000001
custom jewelry designer,"Meera Fancy Dresses, Drapery And Ornaments",4.9,318,088306 46650,1558.2
premium salon,Show Stopper Unisex Salon,4.4,354,086980 34013,1557.6000000000001
